"prod","data","vendite_giorn_prod"
1,"2014-09-19",777
1,"2014-09-20",339
1,"2014-09-21",85
1,"2014-09-22",563
1,"2014-09-23",773
1,"2014-09-24",832
1,"2014-09-25",821
1,"2014-09-26",815
1,"2014-09-27",322
1,"2014-09-28",63
1,"2014-09-29",581
1,"2014-09-30",874
1,"2014-10-01",854
1,"2014-10-02",811
1,"2014-10-03",797
1,"2014-10-04",316
1,"2014-10-05",106
1,"2014-10-06",600
1,"2014-10-07",856
1,"2014-10-08",846
1,"2014-10-09",837
1,"2014-10-10",817
1,"2014-10-11",356
1,"2014-10-12",103
1,"2014-10-13",585
1,"2014-10-14",803
1,"2014-10-15",874
1,"2014-10-16",844
1,"2014-10-17",839
1,"2014-10-18",324
1,"2014-10-19",83
1,"2014-10-20",644
1,"2014-10-21",851
1,"2014-10-22",848
1,"2014-10-23",941
1,"2014-10-24",858
1,"2014-10-25",341
1,"2014-10-26",140
1,"2014-10-27",661
1,"2014-10-28",895
1,"2014-10-29",935
1,"2014-10-30",925
1,"2014-10-31",884
1,"2014-11-01",255
1,"2014-11-02",22
1,"2014-11-03",637
1,"2014-11-04",841
1,"2014-11-05",907
1,"2014-11-06",956
1,"2014-11-07",889
1,"2014-11-08",434
1,"2014-11-09",106
1,"2014-11-10",606
1,"2014-11-11",775
1,"2014-11-12",973
1,"2014-11-13",835
1,"2014-11-14",770
1,"2014-11-15",399
1,"2014-11-16",135
1,"2014-11-17",581
1,"2014-11-18",797
1,"2014-11-19",810
1,"2014-11-20",830
1,"2014-11-21",798
1,"2014-11-22",281
1,"2014-11-23",120
1,"2014-11-24",605
1,"2014-11-25",849
1,"2014-11-26",874
1,"2014-11-27",975
1,"2014-11-28",931
1,"2014-11-29",395
1,"2014-11-30",202
1,"2014-12-01",657
1,"2014-12-02",910
1,"2014-12-03",941
1,"2014-12-04",854
1,"2014-12-05",832
1,"2014-12-06",418
1,"2014-12-07",124
1,"2014-12-08",29
1,"2014-12-09",634
1,"2014-12-10",854
1,"2014-12-11",849
1,"2014-12-12",676
1,"2014-12-13",418
1,"2014-12-14",176
1,"2014-12-15",595
1,"2014-12-16",869
1,"2014-12-17",827
1,"2014-12-18",866
1,"2014-12-19",797
1,"2014-12-20",449
1,"2014-12-21",142
1,"2014-12-22",519
1,"2014-12-23",717
1,"2014-12-24",535
1,"2014-12-25",227
1,"2014-12-26",15
1,"2014-12-27",115
1,"2014-12-28",111
1,"2014-12-29",446
1,"2014-12-30",578
1,"2014-12-31",490
1,"2015-01-01",8
1,"2015-01-02",638
1,"2015-01-03",134
1,"2015-01-04",4
1,"2015-01-05",598
1,"2015-01-06",39
1,"2015-01-07",661
1,"2015-01-08",847
1,"2015-01-09",773
1,"2015-01-10",248
1,"2015-01-11",10
1,"2015-01-12",960
1,"2015-01-13",818
1,"2015-01-14",822
1,"2015-01-15",882
1,"2015-01-16",845
1,"2015-01-17",183
1,"2015-01-18",45
1,"2015-01-19",839
1,"2015-01-20",885
1,"2015-01-21",843
1,"2015-01-22",899
1,"2015-01-23",991
1,"2015-01-24",262
1,"2015-01-25",13
1,"2015-01-26",972
1,"2015-01-27",732
1,"2015-01-28",907
1,"2015-01-29",772
1,"2015-01-30",841
1,"2015-01-31",239
1,"2015-02-01",15
1,"2015-02-02",889
1,"2015-02-03",753
1,"2015-02-04",903
1,"2015-02-05",989
1,"2015-02-06",837
1,"2015-02-07",296
1,"2015-02-08",6
1,"2015-02-09",979
1,"2015-02-10",713
1,"2015-02-11",910
1,"2015-02-12",939
1,"2015-02-13",846
1,"2015-02-14",314
1,"2015-02-15",22
1,"2015-02-16",786
1,"2015-02-17",819
1,"2015-02-18",779
1,"2015-02-19",975
1,"2015-02-20",887
1,"2015-02-21",241
1,"2015-02-22",23
1,"2015-02-23",883
1,"2015-02-24",883
1,"2015-02-25",855
1,"2015-02-26",856
1,"2015-02-27",842
1,"2015-02-28",272
1,"2015-03-01",54
1,"2015-03-02",874
1,"2015-03-03",791
1,"2015-03-04",858
1,"2015-03-05",787
1,"2015-03-06",820
1,"2015-03-07",318
1,"2015-03-08",34
1,"2015-03-09",784
1,"2015-03-10",874
1,"2015-03-11",869
1,"2015-03-12",889
1,"2015-03-13",920
1,"2015-03-14",248
1,"2015-03-15",40
